centrality(%) Raa-central	Raa-up	Raa-low
0	0.45435394294075454	0.5647281364829323	0.34591485705562736
10	0.45435394294075454	0.5647281364829323	0.34591485705562736
10	0.48870908742007835	0.6025481422415925	0.3752847849912667
20	0.48870908742007835	0.6025481422415925	0.3752847849912667
20	0.5235195238137309	0.6422813167991058	0.40482088463245997
30	0.5235195238137309	0.6422813167991058	0.40482088463245997
30	0.5697662355553906	0.6917318919125127	0.4471287139824426
40	0.5697662355553906	0.6917318919125127	0.4471287139824426
40	0.6064848075026822	0.7307798978980422	0.4805646007834114
50	0.6064848075026822	0.7307798978980422	0.4805646007834114
50	0.656513869935467	0.7799212755910409	0.5286830306210469
60	0.656513869935467	0.7799212755910409	0.5286830306210469
60	0.7085303697834572	0.833071888450573	0.5789138908237699
70	0.7085303697834572	0.833071888450573	0.5789138908237699
70	0.7431508534690909	0.868691019666781	0.6169087117359998
80	0.7431508534690909	0.868691019666781	0.6169087117359998
80	0.7983886843643938	0.9166437891435776	0.6707270301448433
90	0.7983886843643938	0.9166437891435776	0.6707270301448433
90	0.8340179682777085	0.9458749744932894	0.7127815899070645
100	0.8340179682777085	0.9458749744932894	0.7127815899070645
