pT(GeV)	Raa-central	Raa-up	Raa-low	
0.5	0.47748711949953354	0.6027182907614237	0.3563540319626528
1.5	0.49471537938880233	0.6222322033104014	0.37156826843978047
2.5	0.4762246230826523	0.5941961409637733	0.3615311189402276
3.5	0.42624128190954386	0.5250780043357286	0.32928654383804523
4.5	0.39337083713338933	0.4765568367264445	0.3102180224960577
5.5	0.3878585702560609	0.4650414046765864	0.3112354806074858
6.5	0.4029689585450256	0.47785687609878363	0.3285960585245666
7.5	0.42947650153766176	0.5052064181781076	0.3537876217776769
8.5	0.45437505473788653	0.5297096797060045	0.37753619770033114
9.5	0.4810854408653945	0.5573355907909804	0.40379212333984
10.5	0.5033941557048165	0.5803978508114649	0.42581115628552935
11.5	0.5319674559808594	0.6095192068336893	0.4534314892093849
12.5	0.5517236137040508	0.6285030876055852	0.47275002402777744
13.5	0.5779370058259249	0.6549239613933455	0.49822446591911557
14.5	0.5975273757871411	0.6753939324446777	0.5187219829159272
15.5	0.617973227242193	0.6941449743589162	0.5387218313409148
