pT(GeV)	dN/dpTdy(GeV^-1)-central	dN/dpTdy(GeV^-1)-up	dN/dpTdy(GeV^-1)-low	
0.5	0.000033799229060231204	0.00004040919650361481	0.000027137994867829375
1.5	0.00006387750039676267	0.00007553762725727423	0.00005192108304539437
2.5	0.00005028805099066712	0.00005879313930825302	0.00004162380585180375
3.5	0.000029941167907288737	0.00003458965748076378	0.000025251288805060002
4.5	0.000016270068751960754	0.000018553026483846095	0.0000138594028345725
5.5	8.653879770696106e-6	9.820187616919729e-6	7.4373753363675e-6
6.5	4.663115541047817e-6	5.251336120745572e-6	4.055240467960624e-6
7.5	2.587589648052312e-6	2.904662931984992e-6	2.2623208808950003e-6
8.5	1.4870006941314249e-6	1.6639842496153e-6	1.3118037590156249e-6
9.5	8.860164867634469e-7	9.84817810090652e-7	7.86314664479375e-7
10.5	5.45449305343714e-7	6.03216206780424e-7	4.8656130397125e-7
11.5	3.4647599999999996e-7	3.8153259999999996e-7	3.1000840000000003e-7
12.5	2.2653939999999998e-7	2.4827639999999996e-7	2.0336989999999998e-7
13.5	1.518954e-7	1.658712e-7	1.370752e-7
14.5	1.0423299999999999e-7	1.1337850000000001e-7	9.465709999999999e-8
15.5	7.302789999999999e-8	7.903680000000001e-8	6.6566e-8
