pT(GeV)	Raa-central	Raa-up	Raa-low	
0.5	0.784306974268464	0.9376904599182336	0.6297338499813334
1.5	0.7302321396470051	0.8635278906237981	0.5935492674185743
2.5	0.6757138751117763	0.7899956194233712	0.5592935616900794
3.5	0.6546921547715134	0.7563358069067542	0.5521434811672159
4.5	0.6595547781627384	0.7521011406498106	0.5618313912117231
5.5	0.6734178329103809	0.7641762583936955	0.5787532660804281
6.5	0.6907792281104207	0.7779163694541188	0.6007305321091241
7.5	0.7052911076577139	0.7917147675304742	0.6166336309022644
8.5	0.723793618222372	0.809939891384913	0.6385169777544909
9.5	0.7405632077019205	0.8231447691304997	0.6572289781164928
10.5	0.7555494835241854	0.8355674652462365	0.6739785683413351
11.5	0.7705751134814391	0.8485422555728782	0.6894698565274346
12.5	0.7847939278253728	0.8600967917384057	0.7045284953630728
13.5	0.7979501673171988	0.8713690591887875	0.7200953996963602
14.5	0.8095263983597135	0.8805549946411098	0.7351550971590114
15.5	0.8222473681247536	0.8899037324776221	0.749490513989754
