pT(GeV)	dN/dpTdy(GeV^-1)-central	dN/dpTdy(GeV^-1)-up	dN/dpTdy(GeV^-1)-low	
0.5	0.00007933824187107213	0.00009790834170234862	0.00006113309828325812
1.5	0.00015646559273293825	0.00019154456430810397	0.000121727811554205
2.5	0.00012379569507309828	0.00015020826481624202	0.00009776133877085187
3.5	0.00007174396196037138	0.00008559424551869556	0.000057943175437136875
4.5	0.000038385887665469984	0.000045135113152288775	0.000031484683862091255
5.5	0.000020556852151220546	0.000023944014208537738	0.00001705412927219125
6.5	0.000011243693625783198	0.000012992225085298168	9.44971283354875e-6
7.5	6.3362845083827555e-6	7.281142949598097e-6	5.3755466483225004e-6
8.5	3.7037779752166616e-6	4.227787228389592e-6	3.16760742486375e-6
9.5	2.234812301593997e-6	2.5422320014544517e-6	1.925780644823125e-6
10.5	1.393965857475815e-6	1.57604209556054e-6	1.209788134509375e-6
11.5	8.952541054664459e-7	1.0076433338221362e-6	7.817144783787499e-7
12.5	5.918306088405921e-7	6.61732411217472e-7	5.1960040657e-7
13.5	4.0053220046170896e-7	4.4586740058584393e-7	3.52938600343125e-7
14.5	2.7739549999999996e-7	3.081011e-7	2.460978e-7
15.5	1.959913e-7	2.1661059999999998e-7	1.7447569999999998e-7
