pT(GeV)	dN/dpTdy(GeV^-1)-central	dN/dpTdy(GeV^-1)-up	dN/dpTdy(GeV^-1)-low	
0.5	0.00008893160163317055	0.00011011920346988639	0.00006817267564522187
1.5	0.00017709995493770777	0.00021755714075677706	0.00013674594406524063
2.5	0.00014053581439053768	0.00017077210234543846	0.00011023790088737938
3.5	0.00008062944026755641	0.00009645498136176667	0.00006462908302036
4.5	0.00004301379772713677	0.000050792816190860284	0.00003503190622528
5.5	0.000022993870499180814	0.00002681831854530751	0.000018987471274183126
6.5	0.000012595263947486559	0.000014557360537991929	0.00001052016679414875
7.5	7.125191690266165e-6	8.19532191098114e-6	6.006637344728125e-6
8.5	4.169278799062272e-6	4.777540887500868e-6	3.5460533935956247e-6
9.5	2.5227290258612306e-6	2.874885249091196e-6	2.160933247994375e-6
10.5	1.576633346861392e-6	1.783088362750272e-6	1.35991224957e-6
11.5	1.0152781362041548e-6	1.14499487282398e-6	8.81818501221875e-7
12.5	6.71832119792935e-7	7.522692251144599e-7	5.871152147093749e-7
13.5	4.55607901385127e-7	5.07878101757532e-7	4.0026190102937497e-7
14.5	3.1590269999999996e-7	3.505604e-7	2.7858279999999994e-7
15.5	2.234657e-7	2.46939e-7	1.980254e-7
