pT(GeV)	Raa-central	Raa-up	Raa-low	
0.5	0.6084745158382557	0.7508955253971275	0.4688524915896944
1.5	0.5894870469897865	0.7216477284795384	0.4586118066998614
2.5	0.5497804424443054	0.6670794670259137	0.4341610752429649
3.5	0.5175599979377474	0.617475761355483	0.41800130548011716
4.5	0.5128623485836152	0.6030367289302758	0.42065743146667095
5.5	0.5280400654525882	0.6150454717904501	0.43806626962533696
6.5	0.548647061927282	0.633968370020421	0.46110800905266697
7.5	0.5690379746087865	0.6538921715707254	0.4827577065281154
8.5	0.5947337179021505	0.6788764428278895	0.5086381940951719
9.5	0.6166031944091044	0.7014228317554007	0.5313388048214212
10.5	0.63683541580378	0.7200172212739945	0.5526935437786531
11.5	0.6576329183462369	0.7401914408740115	0.5742293395704415
12.5	0.6756095740735872	0.7554066075919064	0.5931545346377548
13.5	0.6935130154598702	0.7720099535545423	0.6111057056436252
14.5	0.7105672334561177	0.7892216934008903	0.6303960695311819
15.5	0.7275373993095512	0.8040781023794498	0.6476695497234491
