pT(GeV)	Raa-central	Raa-up	Raa-low	
0.5	0.5862428727134966	0.7259129150669575	0.44939868929464427
1.5	0.5744302203388639	0.7056545911892834	0.4435405012241323
2.5	0.5365383900873496	0.6519746533053346	0.4208668525188816
3.5	0.502608939171525	0.6012584944057183	0.4028696559060959
4.5	0.493815688014483	0.5831219468830764	0.40218036511994887
5.5	0.5078555720584571	0.5923244852126265	0.4193679827081454
6.5	0.5270527184151105	0.6091572575601786	0.4402196357419681
7.5	0.5528261996309288	0.6358549866088644	0.46604030322210444
8.5	0.5761302361177681	0.6601827059867617	0.49001006586509793
9.5	0.5987696314195404	0.682353896643396	0.5128974182956885
10.5	0.6198832393900975	0.7010549362163121	0.5346752383665246
11.5	0.6410482632061785	0.7229516212650889	0.5567816330457142
12.5	0.6606012381432613	0.7396936926457889	0.5773005284256111
13.5	0.6796537069053573	0.7576278494428039	0.5970912355570497
14.5	0.6964022829630904	0.7728046100158503	0.6141311799938715
15.5	0.7129616217820076	0.7878525873153114	0.6317949928692894
