pT(GeV)	dN/dpTdy(GeV^-1)
0.5	0.00010912828455667097
1.5	0.0002021210578505948
2.5	0.00014909064725932835
3.5	0.00008135005161606191
4.5	0.00004128164369172935
5.5	0.000020946387671240174
6.5	0.000011001789554491774
7.5	6.001905981533274e-6
8.5	3.4156056326086496e-6
9.5	2.0224930290738995e-6
10.5	1.2420363727702e-6
11.5	7.888169088795249e-7
12.5	5.16575000440725e-7
13.5	3.473375e-7
14.5	2.385741e-7
15.5	1.677718e-7
