0.00 1.00 0.6391906382369847 0.7865337615250058 0.49460108103349226 
1.00 2.00 0.6152208283267259 0.7511510285547957 0.4810534316747336 
2.00 3.00 0.5894244298315957 0.7126482733944304 0.4687015003081642 
3.00 4.00 0.5813115540842364 0.6910597511118125 0.4698906007030385 
4.00 5.00 0.59329490794453 0.6971482905111082 0.48693714331371835 
5.00 6.00 0.610920498999674 0.7123953131437726 0.508080446619156 
6.00 7.00 0.6323064440707414 0.7311059503380399 0.5308951738343588 
7.00 8.00 0.6534187520198163 0.7501984069171012 0.5525386615054968 
8.00 9.00 0.6744082307954069 0.7714394392938956 0.5764907373840685 
9.00 10.00 0.693065092850512 0.7893840987761442 0.5966729414450935 
10.00 11.00 0.7119087915606429 0.8051386058330009 0.6169307977712541 
11.00 12.00 0.7309961146124673 0.8237588437576326 0.6381367376304895 
12.00 13.00 0.7476335148875215 0.8381235707581506 0.6556569304624833 
13.00 14.00 0.7633413839426073 0.8516009517820905 0.6725365850172921 
14.00 15.00 0.7782916369595523 0.8651814882998308 0.6894475008779117 
15.00 16.00 0.7924877905311796 0.8767884646641331 0.7057405787791305 
