pT(GeV)	Raa-initial	Raa-regeneration	Raa-total-central	Raa-total-up	Raa-total-low
0.5	0.5402753382818108	0.09891529995517387	0.6391906382369847	0.7865337615250058	0.49460108103349226
1.5	0.5457738912686252	0.0694469370581007	0.6152208283267259	0.7511510285547957	0.4810534316747336
2.5	0.556391900989709	0.033032528841886746	0.5894244298315957	0.7126482733944304	0.4687015003081642
3.5	0.571272530746105	0.010039023338131427	0.5813115540842364	0.6910597511118125	0.4698906007030385
4.5	0.5907676295828032	0.002527278361726893	0.59329490794453	0.6971482905111082	0.48693714331371835
5.5	0.6104199930305965	0.0005005059690775505	0.610920498999674	0.7123953131437726	0.508080446619156
6.5	0.6322254950860661	0.0000809489846753978	0.6323064440707414	0.7311059503380399	0.5308951738343588
7.5	0.6534096779088678	9.074110948462048e-6	0.6534187520198163	0.7501984069171012	0.5525386615054968
8.5	0.6744067059617782	1.524833628663996e-6	0.6744082307954069	0.7714394392938956	0.5764907373840685
9.5	0.6930649567076831	1.3614282899738922e-7	0.693065092850512	0.7893840987761442	0.5966729414450935
10.5	0.7119087759720073	1.5588635641437263e-8	0.7119087915606429	0.8051386058330009	0.6169307977712541
11.5	0.7309961132373307	1.3751366323658622e-9	0.7309961146124673	0.8237588437576326	0.6381367376304895
12.5	0.7476335148875215	0.	0.7476335148875215	0.8381235707581506	0.6556569304624833
13.5	0.7633413839426073	0.	0.7633413839426073	0.8516009517820905	0.6725365850172921
14.5	0.7782916369595523	0.	0.7782916369595523	0.8651814882998308	0.6894475008779117
15.5	0.7924877905311796	0.	0.7924877905311796	0.8767884646641331	0.7057405787791305
