pT(GeV)	Raa-initial	Raa-regeneration	Raa-total-central	Raa-total-up	Raa-total-low
0.5	0.4459576802479906	0.11655291901652878	0.5625105992645194	0.7024228135481236	0.4280182495929981
1.5	0.4584665051492276	0.08916282598069482	0.5476293311299224	0.6796972999300522	0.4206765426277412
2.5	0.4757981899479767	0.0489806910865098	0.5247788810344864	0.6440692504846491	0.409126862282483
3.5	0.4955336537697338	0.018221203034748255	0.5137548568044821	0.620428417461606	0.4075440844498749
4.5	0.5187885316932391	0.005214622495622692	0.5240031541888618	0.6231912340174891	0.42280658910901775
5.5	0.5413023420290702	0.0010783804170415615	0.5423807224461118	0.6408278545395052	0.44366425609729665
6.5	0.5668794037067296	0.0002383690199455666	0.5671177727266752	0.6628709509587423	0.4689820449884599
7.5	0.5901800391870529	0.000026978624760710676	0.5902070178118136	0.6862130322415255	0.4923526330313791
8.5	0.6110668855046997	6.341054255802196e-6	0.6110732265589555	0.7066132439921081	0.5148088942607704
9.5	0.6355187003621451	7.996191822273897e-7	0.6355194999813273	0.7302479803618989	0.5401678252111205
10.5	0.6582710237776233	4.04040287977206e-8	0.6582710641816522	0.7513807900354289	0.5632449357303521
11.5	0.6784161970116958	8.000375838649114e-9	0.6784162050120716	0.7706507958433415	0.5856660186931351
12.5	0.6988591242327533	6.246325265264102e-10	0.6988591248573858	0.7885363165742124	0.6065625051146963
13.5	0.7169639760886437	0.	0.7169639760886437	0.8050341001040342	0.6233331819607972
14.5	0.7330456344329187	0.	0.7330456344329187	0.8199762794356226	0.6420824934860626
15.5	0.7515075230574207	0.	0.7515075230574207	0.8388036569360394	0.6615981401765757
