pT(GeV)	Raa-initial	Raa-regeneration	Raa-total-central	Raa-total-up	Raa-total-low	
0.5	0.32724119150871034	0.14799656454917204	0.4752377560578824	0.6014571643391761	0.35207712975134076
1.5	0.34470538408030693	0.12555564302153283	0.4702610271018397	0.5919153009697286	0.3515534006448889
2.5	0.36864541425847447	0.08097482169916388	0.44962023595763834	0.5613714600958606	0.3413532619008116
3.5	0.3946877861264731	0.037344413183376904	0.43203219930985	0.5319090784012561	0.3340304698856531
4.5	0.41881558963048604	0.012650112355433878	0.4314657019859199	0.5229837700832685	0.34042175697941957
5.5	0.44839359138843266	0.0032553715277544595	0.4516489629161871	0.5411931626256083	0.3610723328391828
6.5	0.47359289517000347	0.0007511840548418313	0.47434407922484534	0.5621904586352928	0.3849215399272928
7.5	0.5040775061634982	0.0001781511894872811	0.5042556573529854	0.5948484648802232	0.41276537757834364
8.5	0.5299771024672852	0.000027847676285800743	0.530004950143571	0.6199352175832546	0.4390786377184714
9.5	0.5567672860449309	5.2794848108604e-6	0.5567725655297417	0.6464418511668372	0.4643591850923668
10.5	0.5771075348854785	5.263931613828673e-7	0.5771080612786399	0.6666298547033815	0.4862426421978826
11.5	0.6032306099842011	2.4490136521439104e-8	0.6032306344743376	0.691845458897258	0.5119502037843624
12.5	0.6262632111989959	1.1150593067110714e-8	0.6262632223495889	0.715920868115472	0.535050181329337
13.5	0.6505253213259888	8.794256131288429e-10	0.6505253222054144	0.7385349298413065	0.5588168467446936
14.5	0.6691677983418427	0.	0.6691677983418427	0.7554856688235618	0.577230789666687
15.5	0.688756716221116	0.	0.688756716221116	0.775658848930349	0.5985115123446616
