pT(GeV)	dN/dpTdy(GeV^-1)-central	dN/dpTdy(GeV^-1)-up	dN/dpTdy(GeV^-1)-low	
0.5	0.00020276529742797316	0.00025661816482982613	0.0001502174922375544
1.5	0.0003816268094860534	0.00048035183605835076	0.00028529304985979
2.5	0.00027929019866045453	0.00034870660631754603	0.00021203809950105123
3.5	0.00014903760127518684	0.00018349200191109715	0.00011523006864790936
4.5	0.00007437998490915235	0.00009015670248522912	0.00005868500098694437
5.5	0.00003794058685699743	0.00004546271081955388	0.000030331734002643752
6.5	0.000020126610442174115	0.000023853967722650305	0.000016332376062495623
7.5	0.000011130893493144982	0.000013130630882555745	9.111345383014999e-6
8.5	6.414445329676884e-6	7.5028366434161435e-6	5.3139992679525e-6
9.5	3.841691728075631e-6	4.460403522121595e-6	3.2040458719943745e-6
10.5	2.382554273181004e-6	2.7521393574620643e-6	2.0074221150274997e-6
11.5	1.5280326620355238e-6	1.752501278714384e-6	1.2968118461025e-6
12.5	1.0079268179460988e-6	1.1522245227710841e-6	8.61125813336875e-7
13.5	6.83067200923418e-7	7.75479401171688e-7	5.8677110068625e-7
14.5	4.735386e-7	5.346217e-7	4.084791e-7
15.5	3.3431699999999996e-7	3.7649859999999997e-7	2.905127e-7
