pT(GeV)	dN/dpTdy(GeV^-1)-central	dN/dpTdy(GeV^-1)-up	dN/dpTdy(GeV^-1)-low	
0.5	0.00007214579122237185	0.0000887764888184911	0.00005582589011163187
1.5	0.0001321930623096215	0.00016140050880876006	0.00010336439102783999
2.5	0.00009722758673133592	0.0001175537834938235	0.00007731392434029125
3.5	0.000053336277974569414	0.00006340585306342511	0.000043113224777058124
4.5	0.000027037051742658707	0.00003176975590125436	0.00002219022034894375
5.5	0.000013636000902441306	0.000015900961170609897	0.000011340567946166249
6.5	7.089030350151606e-6	8.196709553924696e-6	5.9520696576037495e-6
7.5	3.836572378978176e-6	4.404817703554815e-6	3.24425119496e-6
8.5	2.16672729895956e-6	2.47846751609296e-6	1.8521396407249999e-6
9.5	1.273432950147881e-6	1.450408817402596e-6	1.096322685900625e-6
10.5	7.77399417022681e-7	8.79205721599396e-7	6.73684112650625e-7
11.5	4.908712009234179e-7	5.531623011716879e-7	4.2851520068625e-7
12.5	3.1941670000000003e-7	3.580774e-7	2.801209e-7
13.5	2.136562e-7	2.383597e-7	1.882403e-7
14.5	1.4627680000000002e-7	1.626074e-7	1.295789e-7
15.5	1.023918e-7	1.1328369999999998e-7	9.11838e-8
