pT(GeV)	dN/dpTdy(GeV^-1)
0.5	0.00003349662454223417
1.5	0.00006348765083252878
2.5	0.000050154382121650146
3.5	0.0000299187327896104
4.5	0.000016267586604850898
5.5	8.653667277378699e-6
6.5	4.663098505069425e-6
7.5	2.5875884505718e-6
8.5	1.487000617135625e-6
9.5	8.86016482820175e-7
10.5	5.4544930510085e-7
11.5	3.4647599999999996e-7
12.5	2.2653939999999998e-7
13.5	1.518954e-7
14.5	1.0423299999999999e-7
15.5	7.302789999999999e-8
