pT(GeV)	v2(%)
0.5	0.35539233824952643
1.5	1.221332857115303
2.5	1.8950304783623189
3.5	1.651366979254954
4.5	1.2753340991938524
5.5	0.9923846202515898
6.5	0.8743301536539513
7.5	0.8007029377511781
8.5	0.7417486348158999
9.5	0.6999263668023121
10.5	0.6090542954578998
11.5	0.5506871336624372
12.5	0.5142217101149475
13.5	0.4839469276819771
14.5	0.44918894330437814
15.5	0.4290591352498393
