pT(GeV)	RAA
0.5	0.7772850734586176
1.5	0.7257754736900918
2.5	0.6739177842375836
3.5	0.6542015895543896
4.5	0.659454157076782
5.5	0.6734012973456275
6.5	0.6907767044543156
7.5	0.7052907812642468
8.5	0.7237935807448719
9.5	0.7405632044059974
10.5	0.7555494831877733
11.5	0.7705751134814391
12.5	0.7847939278253728
13.5	0.7979501673171988
14.5	0.8095263983597135
15.5	0.8222473681247536
