pT/GeV R_ave R_min R_max
1.00000000e+00   8.41687113e-01   8.24812594e-01   8.61820345e-01
1.10000000e+00   8.42871526e-01   8.26112608e-01   8.62870204e-01
1.20000000e+00   8.44128639e-01   8.27491412e-01   8.63985175e-01
1.30000000e+00   8.45450875e-01   8.28940610e-01   8.65158598e-01
1.40000000e+00   8.46830713e-01   8.30451885e-01   8.66383849e-01
1.50000000e+00   8.48260780e-01   8.32017105e-01   8.67654423e-01
1.60000000e+00   8.49733929e-01   8.33628407e-01   8.68964001e-01
1.70000000e+00   8.51243306e-01   8.35278271e-01   8.70306510e-01
1.80000000e+00   8.52782400e-01   8.36959571e-01   8.71676170e-01
1.90000000e+00   8.54345082e-01   8.38665617e-01   8.73067525e-01
2.00000000e+00   8.55925631e-01   8.40390180e-01   8.74475475e-01
2.10000000e+00   8.57518748e-01   8.42127507e-01   8.75895283e-01
2.20000000e+00   8.59119564e-01   8.43872327e-01   8.77322586e-01
2.30000000e+00   8.60723637e-01   8.45619843e-01   8.78753396e-01
2.40000000e+00   8.62326947e-01   8.47365723e-01   8.80184092e-01
2.50000000e+00   8.63925873e-01   8.49106082e-01   8.81611408e-01
2.60000000e+00   8.65517188e-01   8.50837462e-01   8.83032424e-01
2.70000000e+00   8.67098030e-01   8.52556807e-01   8.84444542e-01
2.80000000e+00   8.68665880e-01   8.54261439e-01   8.85845472e-01
2.90000000e+00   8.70218544e-01   8.55949027e-01   8.87233211e-01
3.00000000e+00   8.71754122e-01   8.57617566e-01   8.88606020e-01
3.10000000e+00   8.73270990e-01   8.59265345e-01   8.89962406e-01
3.20000000e+00   8.74767772e-01   8.60890922e-01   8.91301100e-01
3.30000000e+00   8.76243319e-01   8.62493102e-01   8.92621038e-01
3.40000000e+00   8.77696689e-01   8.64070908e-01   8.93921339e-01
3.50000000e+00   8.79127123e-01   8.65623563e-01   8.95201290e-01
3.60000000e+00   8.80534027e-01   8.67150464e-01   8.96460331e-01
3.70000000e+00   8.81916957e-01   8.68651167e-01   8.97698033e-01
3.80000000e+00   8.83275598e-01   8.70125369e-01   8.98914085e-01
3.90000000e+00   8.84609752e-01   8.71572886e-01   9.00108286e-01
4.00000000e+00   8.85919321e-01   8.72993645e-01   9.01280526e-01
4.10000000e+00   8.87204298e-01   8.74387665e-01   9.02430776e-01
4.20000000e+00   8.88464754e-01   8.75755048e-01   9.03559078e-01
4.30000000e+00   8.89700825e-01   8.77095966e-01   9.04665540e-01
4.40000000e+00   8.90912708e-01   8.78410652e-01   9.05750320e-01
4.50000000e+00   8.92100646e-01   8.79699390e-01   9.06813623e-01
4.60000000e+00   8.93264928e-01   8.80962510e-01   9.07855694e-01
4.70000000e+00   8.94405876e-01   8.82200374e-01   9.08876810e-01
4.80000000e+00   8.95523843e-01   8.83413380e-01   9.09877278e-01
4.90000000e+00   8.96619205e-01   8.84601945e-01   9.10857426e-01
5.00000000e+00   8.97692357e-01   8.85766512e-01   9.11817600e-01
5.10000000e+00   8.98743714e-01   8.86907534e-01   9.12758165e-01
5.20000000e+00   8.99773696e-01   8.88025478e-01   9.13679492e-01
5.30000000e+00   9.00782739e-01   8.89120821e-01   9.14581966e-01
5.40000000e+00   9.01771279e-01   8.90194043e-01   9.15465976e-01
5.50000000e+00   9.02739761e-01   8.91245628e-01   9.16331914e-01
5.60000000e+00   9.03688626e-01   8.92276062e-01   9.17180175e-01
5.70000000e+00   9.04618319e-01   8.93285827e-01   9.18011155e-01
5.80000000e+00   9.05529282e-01   8.94275406e-01   9.18825249e-01
5.90000000e+00   9.06421953e-01   8.95245274e-01   9.19622848e-01
6.00000000e+00   9.07296768e-01   8.96195906e-01   9.20404341e-01
6.10000000e+00   9.08154155e-01   8.97127766e-01   9.21170112e-01
6.20000000e+00   9.08994537e-01   8.98041313e-01   9.21920542e-01
6.30000000e+00   9.09818331e-01   8.98936999e-01   9.22656003e-01
6.40000000e+00   9.10625947e-01   8.99815268e-01   9.23376863e-01
6.50000000e+00   9.11417786e-01   9.00676553e-01   9.24083484e-01
6.60000000e+00   9.12194243e-01   9.01521280e-01   9.24776218e-01
6.70000000e+00   9.12955702e-01   9.02349867e-01   9.25455414e-01
6.80000000e+00   9.13702541e-01   9.03162720e-01   9.26121409e-01
6.90000000e+00   9.14435129e-01   9.03960237e-01   9.26774537e-01
7.00000000e+00   9.15153824e-01   9.04742805e-01   9.27415121e-01
7.10000000e+00   9.15858979e-01   9.05510804e-01   9.28043477e-01
7.20000000e+00   9.16550934e-01   9.06264602e-01   9.28659914e-01
7.30000000e+00   9.17230025e-01   9.07004558e-01   9.29264733e-01
7.40000000e+00   9.17896576e-01   9.07731023e-01   9.29858227e-01
7.50000000e+00   9.18550904e-01   9.08444337e-01   9.30440681e-01
7.60000000e+00   9.19193315e-01   9.09144831e-01   9.31012375e-01
7.70000000e+00   9.19824111e-01   9.09832828e-01   9.31573578e-01
7.80000000e+00   9.20443583e-01   9.10508641e-01   9.32124553e-01
7.90000000e+00   9.21052014e-01   9.11172575e-01   9.32665558e-01
8.00000000e+00   9.21649679e-01   9.11824926e-01   9.33196840e-01
8.10000000e+00   9.22236847e-01   9.12465982e-01   9.33718643e-01
8.20000000e+00   9.22813779e-01   9.13096023e-01   9.34231201e-01
8.30000000e+00   9.23380726e-01   9.13715320e-01   9.34734743e-01
8.40000000e+00   9.23937935e-01   9.14324137e-01   9.35229492e-01
8.50000000e+00   9.24485645e-01   9.14922730e-01   9.35715664e-01
8.60000000e+00   9.25024088e-01   9.15511349e-01   9.36193469e-01
8.70000000e+00   9.25553488e-01   9.16090236e-01   9.36663110e-01
8.80000000e+00   9.26074066e-01   9.16659625e-01   9.37124787e-01
8.90000000e+00   9.26586033e-01   9.17219744e-01   9.37578690e-01
9.00000000e+00   9.27089597e-01   9.17770815e-01   9.38025008e-01
9.10000000e+00   9.27584957e-01   9.18313053e-01   9.38463922e-01
9.20000000e+00   9.28072309e-01   9.18846667e-01   9.38895609e-01
9.30000000e+00   9.28551842e-01   9.19371860e-01   9.39320239e-01
9.40000000e+00   9.29023740e-01   9.19888829e-01   9.39737980e-01
9.50000000e+00   9.29488182e-01   9.20397765e-01   9.40148993e-01
9.60000000e+00   9.29945340e-01   9.20898855e-01   9.40553435e-01
9.70000000e+00   9.30395384e-01   9.21392278e-01   9.40951460e-01
9.80000000e+00   9.30838477e-01   9.21878211e-01   9.41343215e-01
9.90000000e+00   9.31274779e-01   9.22356824e-01   9.41728845e-01
1.00000000e+01   9.31704444e-01   9.22828282e-01   9.42108490e-01
